OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,LotConfig,BldgType,LotArea,OverallCond,2ndFlrSF,BedroomAbvGr,Fireplaces,EnclosedPorch,OpenPorchSF,WoodDeckSF,HalfBath,SalePrice
8,2002,2002,1777,1795,1795,2,7,2,534,1,5,9742,5,0,3,1,0,159,171,0,230000
5,1976,1976,1040,1060,1060,1,6,2,572,1,4,4224,7,0,3,1,0,110,100,0,129900
5,1968,2001,1060,1060,1060,1,6,1,270,1,5,8246,8,0,3,1,0,90,406,0,154000
8,2007,2007,1566,1600,1600,2,7,3,890,2,5,14230,5,0,3,1,0,56,0,0,256300
5,1951,2000,900,900,900,1,5,2,576,2,5,7200,7,0,3,0,0,32,222,0,134800
8,2007,2008,1704,1704,1704,2,7,3,772,1,5,11478,5,0,3,1,0,50,0,0,306000
5,1957,1997,1484,1600,1600,1,6,1,319,5,5,16321,6,0,2,2,0,258,288,0,207500
4,1927,1950,520,520,520,1,4,1,240,1,5,6324,6,0,1,0,87,0,49,0,68500
4,1920,1950,649,649,1317,1,6,1,250,1,5,8500,4,668,3,0,172,54,0,0,40000
5,1966,2006,1228,1228,1228,1,6,1,271,5,5,8544,6,0,3,0,0,65,0,1,149350
8,2007,2007,1234,1234,1234,2,7,2,484,2,5,11049,5,0,3,0,0,30,0,0,179900
5,1959,1959,1398,1700,1700,1,6,2,447,1,5,10552,5,0,4,1,0,38,0,1,165500
9,2005,2005,1561,1561,1561,2,6,2,556,1,4,7313,5,0,2,1,0,47,203,0,277500
8,2004,2005,1117,1132,2452,3,9,3,691,1,5,13418,5,1320,4,1,0,32,113,1,309000
5,1994,1995,1097,1097,1097,1,6,2,672,2,5,10859,5,0,3,0,0,64,392,1,145000
5,1954,1990,1297,1297,1297,1,5,2,498,1,5,8532,6,0,3,1,0,0,0,0,153000
5,1953,2007,1057,1057,1057,1,5,1,246,1,5,7922,7,0,3,0,0,52,0,0,109000
4,1955,1955,0,1152,1152,2,6,0,0,1,2,6040,5,0,2,0,0,0,0,0,82000
6,1965,1965,1088,1324,1324,2,6,2,440,1,5,8658,5,0,3,1,0,138,0,0,160000
5,1959,1959,1350,1328,1328,1,5,1,308,1,5,16905,6,0,2,2,0,104,0,1,170000
5,1983,1983,840,884,884,1,5,2,504,5,5,9180,7,0,2,0,0,0,240,0,144000
5,1975,1980,938,938,938,1,5,1,308,5,5,9200,6,0,3,0,0,0,145,0,130250
5,1959,1959,1150,1150,1150,1,6,1,300,1,5,7945,6,0,3,0,0,0,0,0,141000
9,2005,2005,1752,1752,1752,2,6,2,576,1,4,7658,5,0,2,1,0,82,196,0,319900
7,2003,2003,1434,1518,2149,1,6,2,670,5,5,12822,5,631,1,1,0,43,168,1,239686
8,2006,2006,1656,1656,1656,2,7,3,826,1,5,11096,5,0,3,0,0,146,0,0,249700
4,1920,2008,736,736,1452,2,8,0,0,1,1,4456,5,716,2,0,102,0,0,0,113000
5,1966,1966,955,955,955,1,6,1,386,1,5,7742,7,0,3,0,0,0,0,0,127000
6,1997,1997,794,794,1470,2,6,2,388,2,5,13869,6,676,3,0,0,75,0,0,177000
6,1934,1950,816,816,1176,1,6,2,528,1,5,6240,6,0,3,1,0,0,112,0,114500
5,1963,1963,816,816,816,1,5,2,516,2,2,8472,5,0,2,0,0,0,106,0,110000
9,1981,1987,1842,1842,1842,0,5,3,894,1,5,50271,5,0,0,1,0,72,857,1,385000
5,1955,1955,384,1360,1360,1,6,2,572,1,5,7134,5,0,3,1,0,50,0,0,130000
6,1964,1964,1425,1425,1425,2,7,2,576,1,5,10175,5,0,3,1,0,0,0,0,180500
8,1999,2000,970,983,1739,2,7,2,480,1,3,2645,5,756,3,0,0,0,115,1,172500
7,2004,2004,860,860,1720,2,7,2,565,2,5,11645,5,860,3,0,0,70,0,1,196500
10,2006,2006,1410,1426,2945,3,10,3,641,5,5,13682,5,1519,3,1,37,0,192,1,438780
5,1972,1972,780,780,780,1,4,1,352,1,5,7200,7,0,2,0,0,0,196,0,124900
6,2004,2004,1158,1158,1158,1,5,2,576,1,5,13072,5,0,3,0,0,50,0,1,158000
5,1920,1996,530,581,1111,1,6,1,288,1,5,7200,7,530,3,0,144,0,0,0,101000
8,2006,2006,1370,1370,1370,2,6,2,484,1,4,6442,5,0,2,1,0,49,120,0,202500
7,1921,1950,576,902,1710,2,9,2,480,1,5,10300,6,808,3,0,64,11,12,0,140000
7,1997,1998,1057,1057,2034,2,8,2,645,1,5,9375,5,977,3,0,0,36,576,1,219500
8,2004,2005,1143,1143,2473,2,9,3,852,1,5,9591,5,1330,4,1,0,151,192,1,317000
7,1970,1989,1947,2207,2207,2,7,2,576,1,5,19900,5,0,3,1,0,0,301,0,180000
7,2003,2003,1453,1479,1479,2,7,2,558,1,5,10665,5,0,3,0,0,29,144,0,226000
4,1945,1950,747,747,747,1,4,1,220,2,5,4608,6,0,2,0,0,0,0,0,80000
7,1953,1953,1304,1304,2287,2,7,2,667,2,5,15593,4,983,3,1,114,21,0,0,225000
7,1973,1973,2223,2223,2223,2,8,2,516,1,5,13651,6,0,3,2,0,0,300,0,244000
4,1982,2006,845,845,845,1,4,2,360,2,5,7599,6,0,2,0,0,0,0,0,129500
7,1998,1998,832,885,1718,2,7,2,427,2,5,10141,5,833,3,1,0,94,0,1,185000
5,1954,2003,1086,1086,1086,1,6,2,490,1,5,10200,7,0,3,0,0,0,0,0,144900
3,1915,1950,840,840,1605,2,8,1,379,2,5,5790,6,765,3,0,202,0,0,0,107400
4,1973,1973,462,526,988,1,5,1,297,1,3,1596,5,462,2,0,0,101,120,0,91000
4,1956,1956,952,952,952,1,4,1,283,1,5,8475,7,0,2,0,0,0,0,0,135750
5,1948,2001,672,1072,1285,1,6,1,240,1,5,8635,5,213,2,0,0,0,0,0,127000
4,1968,1968,1768,1768,1768,2,8,0,0,1,2,10778,5,0,4,0,0,0,0,0,136500
5,1910,1981,440,682,1230,1,5,2,440,2,5,10440,6,548,2,0,128,0,74,1,110000
6,1968,1968,896,1182,2142,2,8,1,509,2,5,13000,6,960,4,1,0,72,0,1,193500
6,1998,1998,1237,1337,1337,2,5,2,405,3,4,4500,5,0,2,0,0,199,0,0,153500
8,2007,2007,1563,1563,1563,2,6,3,758,1,5,10206,5,0,3,1,0,99,144,0,245000
5,1960,1960,1065,1065,1065,1,6,2,461,1,5,8892,5,0,3,0,0,0,74,1,126500
7,1995,1996,384,804,1474,2,7,2,400,1,5,8530,5,670,3,1,0,72,120,1,168500
8,1991,1992,1288,1301,2417,2,9,2,462,2,5,16059,5,1116,4,1,0,82,127,1,260000
6,2005,2005,684,684,1560,2,6,2,400,1,5,11911,5,876,3,1,0,38,100,1,174000
6,2009,2009,612,612,1224,2,4,2,528,2,4,3951,5,612,2,0,0,234,0,1,164500
3,1915,1982,1013,1013,1526,1,6,0,0,2,5,8470,2,0,2,0,156,0,0,0,85000
4,1994,1995,990,990,990,1,5,0,0,1,5,8070,5,0,3,0,0,0,0,0,123600
4,1950,1950,0,1040,1040,1,4,2,420,1,5,7200,5,0,2,0,0,29,0,0,109900
5,1961,1961,1235,1235,1235,1,6,2,480,1,5,8500,3,0,2,0,0,0,0,0,98600
5,1921,2006,876,964,964,1,5,2,432,1,5,13360,7,0,2,0,44,0,0,0,163500
6,1910,1998,1214,1260,2291,2,9,2,506,2,1,7200,6,1031,4,1,0,0,0,0,133900
6,1997,1997,824,905,1786,2,7,2,684,1,5,9337,5,881,3,0,0,162,0,1,204750
6,1993,1993,680,680,1470,2,6,2,420,2,5,9765,8,790,3,1,0,63,232,1,185000
7,1999,1999,1588,1588,1588,2,6,2,472,1,5,10264,5,0,3,0,0,29,158,0,214000
4,1965,1965,960,960,960,1,6,1,432,1,5,10921,5,0,3,0,0,0,120,0,94750
5,1920,1950,458,835,835,1,5,1,366,2,5,10625,5,0,2,0,77,0,0,0,83000
4,1959,1959,950,1225,1225,1,6,0,0,1,5,9320,5,0,3,0,0,0,352,1,128950
6,1977,2001,1610,1610,1610,2,6,2,480,1,5,10603,7,0,3,2,0,68,168,0,205000
6,1985,1985,741,977,1732,2,7,2,476,1,5,9206,5,755,3,1,0,46,192,1,178000
5,1979,1979,0,1535,1535,2,8,2,410,1,2,7018,5,0,4,0,0,0,0,0,118964
7,2009,2009,1226,1226,1226,2,6,3,740,2,5,10402,5,0,3,0,0,36,0,0,198900
7,1931,1950,1040,1226,1818,1,7,1,240,2,5,7758,4,592,4,2,0,0,0,1,169500
8,2003,2004,1053,1053,1992,2,9,2,648,1,5,9375,5,939,3,1,0,45,140,1,250000
4,1885,1995,641,1047,1047,1,6,1,273,1,5,10800,7,0,2,0,0,0,0,0,100000
5,1948,1950,789,789,789,1,5,1,250,1,5,6000,5,0,2,0,0,0,0,0,115000
5,1919,2005,793,997,1517,2,7,0,0,2,5,8500,7,520,3,0,144,0,0,0,115000
6,1977,1977,1844,1844,1844,2,7,2,546,1,5,11751,6,0,3,1,0,122,0,0,190000
6,1954,1972,994,1216,1855,2,7,1,325,1,5,9525,4,639,4,0,0,0,182,0,136900
7,2000,2000,384,774,1430,2,7,2,400,1,5,7750,5,656,3,1,0,0,180,1,180000
7,2007,2007,1264,1282,2696,2,10,3,792,1,5,9965,5,1414,4,1,0,184,120,1,383970
6,1953,1953,1809,2259,2259,2,7,2,450,2,5,21000,5,0,3,2,192,120,166,0,217000
6,1945,2002,1028,1436,2320,2,9,1,180,1,5,7259,8,884,3,1,0,0,224,1,259500
6,1999,1999,729,729,1458,2,5,2,440,2,4,3230,5,729,2,1,0,32,0,1,176000
5,1962,1962,1092,1092,1092,1,6,1,288,1,5,11616,5,0,3,1,144,20,0,0,139000
5,2006,2007,1125,1125,1125,1,5,2,430,2,5,8536,5,0,2,0,0,64,80,1,155000
7,1990,1990,1673,1699,3222,3,11,3,594,2,5,12376,5,1523,5,2,0,0,367,0,320000
6,2005,2006,728,728,1456,2,8,2,390,1,5,8461,5,728,3,1,0,24,0,1,163990
6,1969,1969,938,988,988,1,4,2,540,5,5,21453,5,0,1,2,0,130,0,0,180000
4,1939,1950,732,772,1123,1,4,1,264,1,5,6060,5,351,3,0,140,0,0,0,100000
6,1958,1958,1080,1080,1080,1,5,1,288,2,5,9464,7,0,3,0,0,0,0,0,136000
6,1993,1993,1199,1199,1199,2,5,2,530,1,4,7892,5,0,2,0,0,63,0,0,153900
6,1979,1998,1362,1586,1586,2,7,2,435,5,5,17043,5,0,3,1,0,0,192,0,181000
6,1935,1982,520,520,754,1,5,0,0,1,1,6780,8,0,2,0,0,0,53,0,84500
6,1976,1976,1078,958,958,2,5,2,440,1,4,4928,5,0,2,1,0,205,0,0,128000
5,1930,1950,672,840,840,1,5,0,0,1,5,4388,7,0,3,1,0,0,0,0,87000
6,1966,1966,660,660,1348,1,6,2,453,1,5,7590,5,688,3,1,0,108,188,1,155000
5,1958,1991,1008,1053,1053,1,6,2,750,1,5,8973,7,0,3,0,0,80,0,1,150000
7,1966,1966,924,1216,2157,2,8,2,487,2,5,14200,6,941,4,2,0,66,105,1,226000
6,2000,2000,992,1022,2054,2,7,2,390,2,5,12224,5,1032,3,1,0,48,24,1,244000
5,1959,2002,1063,1327,1327,1,7,2,624,2,5,7388,6,0,3,0,0,0,0,0,150750
8,2001,2002,1267,1296,1296,2,6,2,471,1,5,6853,5,0,2,0,0,25,192,0,220000
5,1968,1993,1461,1721,1721,2,7,2,440,1,5,10335,6,0,3,1,180,96,0,1,180000
7,1970,1970,1304,1682,1682,2,7,2,530,1,5,10400,6,0,3,1,0,0,98,0,174000
5,1967,1967,1214,1214,1214,2,5,1,318,2,5,10355,5,0,3,1,0,111,0,0,143000
7,1988,1989,1907,1959,1959,3,9,3,766,1,2,11070,5,0,5,0,0,0,0,0,171000
8,1999,2000,1004,1004,1852,2,7,3,660,1,5,9066,5,848,3,2,0,106,224,1,230000
6,1997,1997,928,928,1764,2,7,2,470,1,5,15426,5,836,3,0,0,99,276,1,231500
4,1971,1971,864,864,864,1,5,0,0,3,5,10500,5,0,3,1,0,0,0,0,115000
7,2005,2005,1734,1734,1734,2,7,2,660,1,5,11645,5,0,3,0,0,24,160,0,260000
5,1952,1952,910,910,1385,2,6,2,720,2,5,8520,4,475,4,0,0,0,0,0,166000
7,1999,1999,1490,1501,1501,2,6,2,577,1,5,10335,5,0,3,0,0,29,144,0,204000
5,1963,1963,1728,1728,1728,2,10,2,504,1,2,9100,5,0,6,0,0,0,0,0,125000
6,2004,2006,970,970,1709,2,7,2,380,1,3,2522,5,739,3,0,0,40,0,0,130000
5,1931,1993,715,875,875,1,5,1,180,2,5,6120,7,0,2,0,0,0,48,0,105000
7,2001,2001,884,884,2035,2,8,2,434,5,5,9505,5,1151,3,1,0,48,144,1,222500
7,2004,2005,1080,1080,1080,1,6,0,0,1,5,7500,5,0,3,0,0,0,0,0,141000
5,1936,1950,896,896,1344,1,7,1,240,1,5,6240,4,448,3,0,0,114,200,0,115000
5,1975,1975,969,969,969,1,5,2,440,2,5,10356,6,0,3,0,0,0,0,1,122000
8,2007,2008,1710,1710,1710,2,6,3,866,1,5,13891,5,0,2,1,0,102,0,0,372402
6,1971,1971,825,1097,1993,2,8,2,495,5,5,14803,5,896,4,1,0,66,0,1,190000
6,1960,1975,1602,1252,1252,1,4,2,564,1,5,13500,7,0,1,1,0,0,409,0,235000
6,1923,1950,1200,1200,1200,1,7,1,312,2,5,11340,5,0,4,0,228,0,0,0,125000
6,1924,1950,572,572,1096,1,5,0,0,2,5,9600,5,524,2,0,128,8,0,0,79000
5,1950,1950,0,1040,1040,1,5,2,625,1,5,7200,7,0,2,0,0,0,0,0,109500
8,2009,2010,774,774,1968,2,8,3,680,2,5,12003,5,1194,4,1,0,75,0,1,269500
7,2004,2005,991,991,1947,2,8,2,678,2,5,12552,5,956,3,1,0,136,0,1,254900
7,2005,2006,1392,1392,2462,2,9,2,576,2,5,19378,5,1070,4,1,0,132,239,1,320000
6,1984,1984,1232,1232,1232,2,6,2,516,5,5,11120,6,0,3,0,0,0,0,0,162500
9,2003,2004,1572,1572,2668,2,10,3,726,1,5,13688,5,1096,3,2,0,0,400,1,412500
7,2005,2005,1541,1541,1541,2,7,2,532,2,5,12182,5,0,3,1,0,70,0,0,220000
4,1956,1956,882,882,882,1,4,0,0,1,5,5500,6,0,1,0,0,0,0,0,103200
6,1926,2004,1149,1149,1616,2,5,1,216,2,5,5400,7,467,3,0,183,0,0,0,152000
5,1940,1999,644,808,1355,2,6,0,0,1,1,10106,7,547,4,0,0,0,140,0,127500
5,1955,1993,1617,1867,1867,1,7,1,303,1,5,10708,5,0,2,3,0,0,476,0,190000
8,2007,2007,1582,1610,2161,1,8,3,789,1,5,10562,5,551,3,1,0,120,178,1,325624
7,2004,2004,840,840,1720,2,7,2,440,1,5,8244,5,880,3,1,0,48,100,1,183500
8,1981,1981,1686,1707,1707,2,6,2,511,2,5,16669,6,0,2,1,0,64,574,1,228000
5,1941,1950,720,854,1382,1,7,2,660,1,5,12358,6,0,2,0,0,0,237,1,128500
6,1960,1960,1080,1656,1656,1,7,2,528,2,5,31770,5,0,3,2,0,62,210,0,215000
7,1987,1987,1064,1064,1767,2,5,2,504,1,4,5306,7,703,2,1,0,35,441,0,239000
6,1961,1961,1362,1362,1362,1,6,2,504,1,5,10197,5,0,3,1,0,20,0,1,163000
6,1986,1986,1606,1651,1651,2,7,2,616,1,5,12416,5,0,3,1,0,0,192,0,184000
6,1950,2001,1202,2158,2158,2,7,2,576,2,5,12615,7,0,4,1,39,29,0,0,243000
6,1988,1989,1151,1164,2060,2,8,2,521,2,5,10029,5,896,4,1,0,228,0,1,211000
5,1958,1958,1052,1252,1920,2,8,2,451,1,5,13650,5,668,4,1,0,0,0,0,172500
9,2008,2009,2216,2234,2234,2,9,3,1166,5,5,17423,5,0,1,1,0,60,0,0,501837
5,1923,2006,968,968,968,1,5,2,480,1,5,8520,6,0,2,0,184,0,0,0,100000
6,2000,2000,756,769,1525,2,5,2,440,1,3,2117,5,756,3,1,0,0,0,1,177000
7,1920,1950,793,901,1802,1,9,1,216,1,5,7588,6,901,4,1,40,0,0,1,200100
5,1957,2006,0,1340,1340,1,7,1,252,1,5,9060,6,0,3,1,0,0,116,0,120000
7,2003,2003,1362,1362,2082,2,6,2,484,1,5,11426,5,720,3,0,0,238,280,1,200000
5,1908,1991,504,936,1252,1,5,2,576,1,5,7438,8,316,3,0,0,0,104,0,127000
10,1892,1993,1107,1518,3608,2,12,3,840,1,5,22950,9,1518,4,2,0,260,0,1,475000
7,1990,1991,1188,1217,1217,2,6,2,497,5,5,9947,5,0,3,0,0,27,168,0,173000
5,1916,1987,660,808,1656,2,8,1,180,1,5,10410,7,704,3,0,0,0,0,1,135000
5,1979,1979,1086,1224,1224,0,6,2,528,1,2,7018,5,0,2,2,0,0,120,2,153337
8,2001,2002,1593,1593,1593,1,5,2,682,1,4,4923,5,0,0,1,0,120,0,1,286000
8,1932,1994,853,1549,2727,2,10,2,440,1,5,10570,8,1178,3,2,0,74,0,1,315000
7,1972,2004,725,725,1479,1,7,2,484,5,5,7472,9,754,4,0,0,32,0,1,184000
7,1999,1999,1431,1431,1431,2,6,2,666,1,5,9017,5,0,3,0,0,35,0,0,192000
7,2004,2004,970,970,1709,2,7,2,380,1,3,2522,5,739,3,0,0,40,0,0,130000
5,1972,1972,864,864,864,1,5,1,352,1,5,7180,7,0,3,0,0,0,0,0,127000
6,1976,1976,855,855,1456,2,7,2,440,3,3,2280,6,601,3,1,0,0,87,1,148500
7,2007,2007,1726,1726,1726,2,8,3,786,1,5,9416,5,0,3,1,0,138,171,0,311872
8,1918,1990,1360,1360,3112,2,8,2,795,2,5,25419,4,1360,4,1,552,16,0,0,235000
6,1912,1950,755,929,2229,1,8,0,0,2,5,5520,6,929,5,0,30,198,0,0,104000
8,2004,2005,1713,1713,1713,2,7,3,856,1,5,9591,5,0,3,1,0,26,0,0,274900
4,2003,2004,1121,1121,1121,2,5,2,440,2,5,8546,5,0,2,0,0,64,132,0,140000
6,1977,1977,1196,1279,1279,2,6,2,473,1,5,10125,6,0,3,2,0,83,238,0,171500
6,1924,1950,617,865,1310,2,6,1,398,2,5,7000,6,445,2,0,126,0,0,0,112000
6,2004,2004,848,848,848,1,3,2,420,1,4,4438,5,0,1,1,0,0,149,0,149000
5,1947,1950,720,720,1284,1,5,1,240,1,5,3500,7,564,2,0,0,35,0,1,110000
7,1990,1990,1424,1442,1442,2,5,2,500,2,5,11851,5,0,3,0,0,34,0,0,180500
5,1962,1962,1140,1696,1696,1,8,1,349,5,5,13673,5,0,3,1,0,30,0,1,143900
4,1960,1960,1100,1100,1100,1,6,1,312,1,5,12493,5,0,3,1,0,0,355,0,141000
7,1988,1989,1157,1180,2062,2,7,2,454,1,5,14364,5,882,3,1,0,55,60,1,277000
6,1964,1964,1092,1092,1092,1,6,2,504,1,5,8250,7,0,3,0,0,0,0,0,145000
5,1925,1950,864,864,864,1,5,0,0,1,5,5604,6,0,2,0,96,0,0,0,98000
6,2009,2009,1212,1212,1212,2,6,2,460,2,5,10420,5,0,3,0,0,22,100,0,186000
7,2009,2009,900,932,1852,2,7,2,644,1,5,8640,5,920,3,1,0,108,168,1,252678
5,1995,1995,990,990,990,1,5,2,576,5,5,13568,5,0,3,0,0,0,224,0,156000
6,1977,1977,689,689,1392,1,6,1,299,3,5,10900,7,703,3,0,0,36,0,1,161750
5,1957,1996,1070,1236,1236,1,6,1,447,1,5,10011,6,0,2,1,0,0,0,0,134450
7,2004,2004,1436,1436,1436,2,8,2,484,1,5,8450,5,0,3,0,0,98,139,0,210000
4,1925,1950,686,810,1328,1,8,1,210,1,5,9906,4,518,3,0,60,172,0,0,107000
7,1939,2006,798,1137,1954,1,8,2,431,2,5,15660,9,817,3,2,150,119,0,1,311500
7,2005,2006,1248,1248,1248,2,5,2,438,1,4,3010,5,0,2,0,0,0,108,0,167240
7,2006,2006,1498,1498,1498,2,5,2,675,1,5,8990,5,0,2,0,0,33,351,0,204900
6,2002,2002,1010,1010,2267,2,8,2,390,1,5,8068,5,1257,4,1,0,46,120,1,200000
6,1975,1975,713,811,1552,2,6,2,434,1,5,11475,6,741,3,1,0,208,209,1,179900
4,1971,1971,864,864,864,1,4,2,576,3,5,10500,6,0,2,0,0,0,216,0,97000
10,2003,2003,2392,2392,2392,2,8,3,968,1,5,13472,5,0,3,1,0,105,248,0,386250
5,1971,1971,630,630,1302,2,6,1,280,1,3,1680,5,672,3,0,0,0,0,1,112000
7,1995,1995,1203,1214,2520,2,9,3,721,1,5,9950,5,1306,4,1,0,114,224,1,290000
6,1970,1970,483,483,987,1,5,1,280,1,3,1869,6,504,2,0,0,0,0,1,106000
5,1967,1967,912,912,912,1,5,1,336,3,5,8521,5,0,3,1,0,0,0,0,125000
7,2005,2006,1373,1555,1555,2,7,2,430,1,4,3182,5,0,2,1,0,20,143,0,192500
6,1959,1959,1194,1194,1194,1,6,1,312,1,5,8760,6,0,3,0,120,0,0,0,148000
8,1995,1996,1462,1490,2794,2,9,3,810,1,5,15138,5,1304,4,1,202,146,0,1,403000
6,1972,1972,483,483,987,1,5,1,288,1,3,1680,5,504,2,1,0,0,0,1,94500
5,1976,1976,894,894,894,1,5,1,308,2,5,10650,6,0,3,0,0,0,365,0,128200
6,2002,2002,860,860,1960,2,8,2,440,1,5,7851,5,1100,4,2,0,48,288,1,216500
6,1971,1971,483,483,987,1,5,1,264,1,4,1680,3,504,2,0,0,0,0,1,89500
7,2004,2004,1414,1414,1414,2,6,2,494,3,5,8773,5,0,3,0,0,105,132,0,185500
7,1993,2003,996,1014,1744,2,7,2,457,5,5,9453,7,730,3,0,0,70,370,1,194500
8,2007,2007,1694,1694,1694,2,7,3,818,1,5,12030,5,0,3,0,0,228,168,0,318000
6,1945,1950,735,798,1487,1,7,1,220,1,5,8741,4,689,3,1,0,140,0,1,113000
8,2008,2008,1566,1566,1566,2,7,2,750,1,5,9000,5,0,3,0,0,168,144,0,262500
5,1945,1997,686,866,866,1,4,0,0,1,5,3880,9,0,2,0,0,42,58,0,110500
5,1900,1950,540,889,1440,1,6,1,352,2,5,5000,4,551,3,0,77,0,0,0,79000
6,1980,1980,626,626,1217,1,6,1,288,2,4,10762,6,591,3,1,0,28,0,1,120000
7,1994,2002,948,1222,2110,2,8,2,463,1,5,8880,5,888,3,2,0,130,0,1,205000
7,1988,1988,1845,1872,1872,2,6,2,604,1,5,10400,5,0,3,1,0,39,197,0,241500
6,1910,1950,1020,908,1928,2,9,1,440,1,1,9142,8,1020,4,0,112,60,0,0,137000
6,1954,1954,1367,1375,1375,1,5,2,451,1,5,11310,5,0,2,1,0,30,0,0,140000
7,2003,2003,840,840,1668,2,8,2,500,1,5,11317,5,828,3,0,0,68,144,1,180000
6,1958,2006,1444,1444,2144,2,7,2,389,5,5,159000,7,700,4,2,0,98,0,0,277000
3,1940,1966,728,1306,1306,1,6,0,0,1,5,5350,2,0,3,0,0,0,263,0,76500
8,2006,2007,1573,1625,1625,2,5,2,538,1,4,4750,5,0,2,1,0,0,123,0,235000
6,2004,2004,798,798,1640,2,6,2,520,1,5,8366,5,842,3,0,0,45,138,1,173000
6,1964,1991,1302,1302,1302,2,7,1,309,1,5,9350,7,0,3,0,0,0,333,0,158000
5,1957,1957,1314,1314,1314,1,5,1,294,1,5,8400,6,0,3,0,0,0,250,0,145000
7,1999,1999,975,1005,2291,2,8,2,429,1,5,8738,5,1286,4,1,0,0,192,1,230000
6,2003,2003,864,864,1728,2,7,2,673,1,5,8791,5,864,3,0,0,56,216,1,207500
7,2006,2006,1604,1604,1604,2,8,2,660,1,5,8814,5,0,3,1,0,110,123,1,220000
7,2001,2001,963,963,1792,2,7,2,564,1,5,12435,5,829,3,1,0,96,0,1,231500
5,1956,1956,0,882,882,1,4,1,308,1,5,12702,5,0,2,0,0,45,0,0,97000
6,1962,1962,1362,1382,1382,1,6,2,884,2,5,19296,5,0,3,1,252,0,0,0,176000
8,2007,2007,1482,1482,2574,2,10,3,868,1,5,9588,5,1092,3,1,0,148,0,1,276000
6,1977,1995,506,1212,1212,1,6,2,492,2,5,8471,7,0,3,1,0,12,292,0,151000
5,1929,2001,926,926,1316,1,6,2,484,2,5,5500,7,0,3,0,0,0,0,0,130000
5,1925,2004,680,764,764,1,4,2,504,1,5,5232,5,0,2,0,0,0,0,0,73000
6,1981,1981,1422,1422,1422,2,7,2,576,1,5,12090,6,0,3,1,0,0,276,0,175500
6,1997,1997,802,802,1511,2,8,2,413,3,5,11207,5,709,3,1,0,75,95,1,185000
5,1939,1997,720,1052,2192,2,8,1,240,1,5,8400,8,720,4,1,0,24,262,1,179500
5,1940,1955,740,778,778,1,4,1,924,1,5,6900,6,0,2,1,0,25,0,0,120500
6,1976,1976,1143,1113,1113,1,6,1,504,2,5,7917,7,0,3,1,0,30,370,1,148000
8,2006,2006,1095,1095,1939,2,8,3,1053,1,5,10728,5,844,3,1,0,51,192,1,266000
7,1954,2005,1385,1363,1363,1,5,2,439,5,5,39104,7,0,2,2,0,0,81,0,241500
